voterID, State, A, B, C, D
Voter697, MN, 1, 2, 3, 4
Voter698, KS, 3, 4, 2, 1
Voter699, MD, 2, 4, 1, 3
Voter700, RI, 4, 3, 1, 2
Voter701, MD, 1, 2, 3, 4
Voter702, SC, 3, 2, 4, 1
Voter703, DC, 1, 4, 2, 3
Voter704, DE, 2, 3, 4, 1
Voter705, NE, 3, 1, 4, 2
Voter706, OK, 2, 3, 4, 1
Voter707, OR, 3, 1, 4, 2
Voter708, UT, 1, 4, 2, 3
Voter709, UT, 1, 3, 4, 2
Voter710, MO, 4, 3, 1, 2
Voter711, OR, 1, 2, 3, 4
Voter712, DC, 4, 1, 2, 3
Voter713, NH, 1, 2, 4, 3
Voter714, VT, 4, 2, 1, 3
Voter715, WI, 2, 3, 1, 4
Voter716, NY, 2, 4, 3, 1
Voter717, GA, 4, 3, 2, 1
Voter718, AZ, 2, 4, 3, 1
Voter719, LA, 1, 2, 4, 3
Voter720, OR, 2, 4, 3, 1
Voter721, UT, 1, 3, 4, 2
Voter722, NM, 1, 3, 4, 2
Voter723, AK, 3, 2, 1, 4
Voter724, WV, 2, 4, 1, 3
Voter725, VT, 1, 4, 2, 3
Voter726, GA, 4, 1, 2, 3
Voter727, UT, 2, 4, 3, 1
Voter728, KY, 3, 1, 4, 2
Voter729, NM, 4, 2, 3, 1
Voter730, AL, 1, 3, 4, 2
Voter731, NE, 3, 2, 1, 4
Voter732, SC, 3, 1, 4, 2
Voter733, AK, 2, 1, 3, 4
Voter734, FL, 4, 2, 3, 1
Voter735, AR, 2, 1, 3, 4
Voter736, IA, 1, 3, 2, 4
Voter737, CT, 4, 2, 1, 3
Voter738, NC, 3, 4, 2, 1
Voter739, SD, 3, 2, 1, 4
Voter740, TX, 4, 1, 3, 2
Voter741, MT, 3, 4, 1, 2
Voter742, UT, 4, 1, 3, 2
Voter743, AL, 4, 1, 2, 3
Voter744, KY, 2, 1, 3, 4
Voter745, PA, 4, 3, 2, 1
Voter746, SD, 1, 2, 4, 3
Voter747, NJ, 2, 1, 3, 4
Voter748, TN, 4, 3, 2, 1
Voter749, RI, 4, 1, 3, 2
Voter750, AL, 4, 2, 3, 1
Voter751, CO, 3, 2, 4, 1
Voter752, MA, 2, 4, 3, 1
Voter753, NH, 2, 3, 4, 1
Voter754, NE, 1, 3, 4, 2
Voter755, NJ, 4, 1, 3, 2
Voter756, SC, 4, 3, 1, 2
Voter757, AZ, 3, 4, 1, 2
Voter758, MN, 1, 4, 2, 3
Voter759, WI, 2, 3, 4, 1
Voter760, NV, 1, 4, 3, 2
Voter761, MI, 2, 4, 1, 3
Voter762, ID, 1, 3, 4, 2
Voter763, NV, 3, 1, 2, 4
Voter764, AL, 3, 1, 4, 2
Voter765, TN, 2, 4, 3, 1
Voter766, TX, 2, 1, 4, 3
Voter767, RI, 1, 2, 4, 3
Voter768, ME, 3, 4, 2, 1
Voter769, TX, 4, 1, 2, 3
Voter770, NY, 1, 3, 4, 2
Voter771, UT, 2, 1, 3, 4
Voter772, AL, 2, 4, 1, 3
Voter773, MD, 4, 3, 2, 1
Voter774, ND, 4, 1, 3, 2
Voter775, VA, 4, 3, 2, 1
Voter776, OK, 4, 3, 2, 1
Voter777, KS, 3, 2, 1, 4
Voter778, SD, 3, 1, 2, 4
Voter779, SD, 2, 1, 3, 4
Voter780, OK, 3, 2, 1, 4
Voter781, WA, 4, 3, 1, 2
Voter782, GA, 4, 1, 3, 2
Voter783, NH, 1, 3, 2, 4
Voter784, MT, 4, 1, 3, 2
Voter785, NJ, 4, 2, 3, 1
Voter786, SD, 4, 2, 3, 1
Voter787, VT, 2, 1, 4, 3
Voter788, RI, 3, 1, 2, 4
Voter789, IL, 4, 3, 2, 1
Voter790, CO, 2, 1, 4, 3
Voter791, WV, 1, 2, 4, 3
Voter792, OH, 4, 1, 2, 3
Voter793, OK, 4, 2, 1, 3
Voter794, MO, 4, 3, 2, 1
Voter795, MD, 2, 3, 4, 1
Voter796, AL, 4, 2, 1, 3
Voter797, WY, 2, 1, 4, 3
Voter798, RI, 4, 1, 2, 3
Voter799, MS, 2, 3, 4, 1
Voter800, MS, 3, 4, 2, 1
Voter801, NH, 4, 1, 3, 2
Voter802, NE, 4, 2, 3, 1
Voter803, NM, 2, 3, 1, 4
Voter804, NH, 4, 2, 3, 1
Voter805, MI, 4, 1, 3, 2
Voter806, VA, 4, 2, 3, 1
Voter807, MA, 2, 4, 3, 1
Voter808, AR, 2, 3, 1, 4
Voter809, WV, 3, 4, 1, 2
Voter810, KS, 4, 1, 2, 3
Voter811, CO, 1, 4, 3, 2
Voter812, OH, 1, 4, 3, 2
Voter813, MN, 4, 2, 1, 3
Voter814, MN, 2, 1, 3, 4
Voter815, KS, 3, 2, 4, 1
Voter816, OR, 1, 4, 3, 2
Voter817, TN, 4, 1, 2, 3
Voter818, AK, 1, 3, 2, 4
Voter819, UT, 4, 2, 3, 1
Voter820, MO, 2, 3, 4, 1
Voter821, DE, 4, 3, 1, 2
Voter822, WI, 4, 3, 1, 2
Voter823, SC, 2, 3, 4, 1
Voter824, MN, 1, 4, 3, 2
Voter825, VT, 1, 4, 3, 2
Voter826, ME, 3, 2, 4, 1
Voter827, WY, 3, 4, 2, 1
Voter828, ND, 1, 2, 4, 3
Voter829, NM, 3, 1, 2, 4
Voter830, NY, 4, 2, 1, 3
Voter831, RI, 1, 3, 4, 2
Voter832, PA, 1, 3, 4, 2
Voter833, HI, 4, 2, 3, 1
Voter834, SD, 4, 3, 1, 2
Voter835, VA, 2, 4, 1, 3
Voter836, NH, 1, 3, 2, 4
Voter837, WV, 2, 1, 3, 4
Voter838, SC, 2, 3, 1, 4
Voter839, FL, 3, 4, 1, 2
Voter840, FL, 3, 4, 2, 1
Voter841, LA, 2, 4, 1, 3
Voter842, HI, 1, 4, 3, 2
Voter843, TX, 2, 3, 4, 1
Voter844, MO, 3, 2, 4, 1
Voter845, OH, 1, 2, 4, 3
Voter846, IL, 1, 3, 4, 2
Voter847, OR, 2, 3, 4, 1
Voter848, MN, 1, 3, 4, 2
Voter849, NE, 4, 3, 1, 2
Voter850, ND, 2, 4, 1, 3
Voter851, DC, 1, 2, 3, 4
Voter852, OR, 3, 4, 2, 1
Voter853, AZ, 4, 3, 2, 1
Voter854, MN, 2, 4, 1, 3
Voter855, IA, 4, 2, 1, 3
Voter856, WA, 3, 2, 4, 1
Voter857, ND, 2, 1, 3, 4
Voter858, RI, 3, 4, 1, 2
Voter859, UT, 2, 1, 4, 3
Voter860, NC, 4, 2, 1, 3
Voter861, NJ, 3, 2, 4, 1
Voter862, MD, 1, 4, 2, 3
Voter863, OK, 4, 1, 2, 3
Voter864, PA, 1, 2, 3, 4
Voter865, IA, 3, 4, 2, 1
Voter866, IA, 1, 4, 3, 2
Voter867, CT, 4, 3, 2, 1
Voter868, FL, 4, 3, 1, 2
Voter869, CO, 2, 3, 4, 1
Voter870, IL, 1, 4, 2, 3
Voter871, OK, 3, 1, 2, 4
Voter872, AR, 4, 1, 3, 2
Voter873, RI, 3, 1, 4, 2
Voter874, DC, 1, 4, 3, 2
Voter875, MA, 3, 1, 2, 4
Voter876, MI, 4, 2, 1, 3
Voter877, NM, 4, 1, 3, 2
Voter878, IA, 2, 1, 3, 4
Voter879, IL, 1, 3, 4, 2
Voter880, MT, 2, 4, 1, 3
Voter881, WI, 4, 2, 1, 3
Voter882, WV, 3, 4, 1, 2
Voter883, WY, 4, 2, 3, 1
Voter884, OH, 4, 3, 2, 1
Voter885, AL, 4, 1, 2, 3
Voter886, AR, 4, 2, 1, 3
Voter887, ND, 4, 1, 3, 2
Voter888, KY, 1, 3, 2, 4
Voter889, KY, 4, 2, 3, 1
Voter890, TN, 2, 1, 3, 4
Voter891, WI, 1, 3, 4, 2
Voter892, NM, 3, 1, 4, 2
Voter893, OK, 3, 2, 1, 4
Voter894, MI, 1, 2, 4, 3
Voter895, NH, 1, 3, 4, 2
Voter896, KY, 1, 3, 2, 4
Voter897, PA, 4, 1, 3, 2
Voter898, HI, 3, 2, 4, 1
Voter899, MI, 4, 2, 1, 3
Voter900, SD, 2, 4, 1, 3
Voter901, WV, 4, 1, 3, 2
Voter902, MD, 4, 3, 1, 2
Voter903, WV, 4, 2, 3, 1
Voter904, AZ, 4, 2, 1, 3
Voter905, OR, 1, 3, 2, 4
Voter906, RI, 2, 1, 3, 4
Voter907, NY, 3, 4, 1, 2
Voter908, NY, 4, 2, 1, 3
Voter909, ND, 1, 2, 3, 4
Voter910, FL, 4, 2, 3, 1
Voter911, KS, 2, 4, 1, 3
Voter912, IN, 3, 1, 2, 4
Voter913, RI, 2, 1, 4, 3
Voter914, VT, 1, 2, 4, 3
Voter915, KS, 3, 1, 2, 4
Voter916, HI, 1, 4, 2, 3
Voter917, NH, 1, 4, 2, 3
Voter918, AZ, 3, 1, 2, 4
Voter919, MN, 4, 2, 1, 3
Voter920, OK, 2, 4, 1, 3
Voter921, CT, 2, 1, 4, 3
Voter922, LA, 3, 4, 2, 1
Voter923, TX, 4, 1, 2, 3
Voter924, LA, 3, 1, 4, 2
Voter925, WY, 1, 4, 3, 2
Voter926, NY, 1, 4, 3, 2
Voter927, VA, 2, 4, 3, 1
Voter928, CT, 1, 2, 4, 3
Voter929, DE, 1, 4, 3, 2
Voter930, NH, 2, 4, 3, 1
Voter931, IA, 4, 1, 2, 3
Voter932, IA, 1, 4, 2, 3
Voter933, OH, 1, 2, 3, 4
Voter934, MN, 3, 2, 1, 4
Voter935, GA, 4, 3, 1, 2
Voter936, IN, 4, 2, 3, 1
Voter937, NC, 4, 3, 2, 1
Voter938, MO, 4, 3, 2, 1
Voter939, ME, 2, 3, 1, 4
Voter940, CA, 2, 1, 4, 3
Voter941, FL, 3, 1, 4, 2
Voter942, OR, 2, 4, 1, 3
Voter943, KS, 1, 2, 4, 3
Voter944, AL, 1, 3, 2, 4
Voter945, AK, 3, 1, 2, 4
Voter946, WY, 4, 1, 3, 2
Voter947, ME, 3, 4, 2, 1
Voter948, NV, 2, 1, 4, 3
Voter949, AK, 1, 3, 4, 2
Voter950, NE, 2, 4, 1, 3
Voter951, AL, 4, 1, 3, 2
Voter952, DE, 1, 3, 4, 2
Voter953, LA, 2, 4, 3, 1
Voter954, TX, 1, 4, 3, 2
Voter955, AR, 2, 4, 3, 1
Voter956, WA, 3, 4, 1, 2
Voter957, HI, 4, 2, 1, 3
Voter958, VT, 3, 1, 4, 2
Voter959, MT, 2, 4, 1, 3
Voter960, IN, 1, 2, 3, 4
Voter961, RI, 2, 1, 3, 4
Voter962, CT, 4, 2, 1, 3
Voter963, GA, 3, 1, 2, 4
Voter964, DE, 3, 1, 2, 4
Voter965, VA, 3, 2, 1, 4
Voter966, OK, 4, 1, 3, 2
Voter967, VT, 1, 2, 4, 3
Voter968, MS, 2, 4, 1, 3
Voter969, OR, 2, 1, 3, 4
Voter970, AZ, 3, 2, 1, 4
Voter971, VA, 4, 1, 2, 3
Voter972, ND, 2, 3, 1, 4
Voter973, WA, 2, 1, 4, 3
Voter974, MI, 4, 2, 3, 1
Voter975, ID, 2, 3, 4, 1
Voter976, MO, 2, 4, 1, 3
Voter977, AK, 2, 1, 4, 3
Voter978, WY, 2, 1, 3, 4
Voter979, IL, 4, 2, 3, 1
Voter980, IN, 4, 2, 3, 1
Voter981, TX, 3, 1, 2, 4
Voter982, OK, 4, 3, 2, 1
Voter983, MN, 1, 2, 3, 4
Voter984, HI, 1, 4, 2, 3
Voter985, NH, 2, 1, 4, 3
Voter986, MO, 3, 1, 2, 4
Voter987, ME, 3, 2, 4, 1
Voter988, SC, 1, 4, 2, 3
Voter989, CT, 1, 4, 2, 3
Voter990, ME, 4, 3, 2, 1
Voter991, MI, 2, 1, 3, 4
Voter992, AK, 1, 4, 2, 3
Voter993, IL, 3, 2, 1, 4
Voter994, OR, 3, 4, 1, 2
Voter995, ID, 3, 1, 4, 2
Voter996, VT, 4, 2, 3, 1
Voter997, WY, 4, 2, 1, 3
Voter998, MA, 2, 4, 1, 3
Voter999, NE, 1, 3, 4, 2
